UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Sep26 ?        00:00:07 /usr/lib/systemd/systemd --switched-root --system --deserialize 30
root           2       0  0 Sep26 ?        00:00:00 [kthreadd]
root           3       2  0 Sep26 ?        00:00:00 [rcu_gp]
root           4       2  0 Sep26 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Sep26 ?        00:00:00 [kworker/0:0H-events_highpri]
root           8       2  0 Sep26 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 Sep26 ?        00:00:02 [ksoftirqd/0]
root          10       2  0 Sep26 ?        00:01:29 [rcu_sched]
root          11       2  0 Sep26 ?        00:00:00 [migration/0]
root          13       2  0 Sep26 ?        00:00:00 [cpuhp/0]
root          14       2  0 Sep26 ?        00:00:00 [cpuhp/1]
root          15       2  0 Sep26 ?        00:00:00 [migration/1]
root          16       2  0 Sep26 ?        00:00:02 [ksoftirqd/1]
root          18       2  0 Sep26 ?        00:00:00 [kworker/1:0H-kblockd]
root          19       2  0 Sep26 ?        00:00:00 [cpuhp/2]
root          20       2  0 Sep26 ?        00:00:00 [migration/2]
root          21       2  0 Sep26 ?        00:00:01 [ksoftirqd/2]
root          23       2  0 Sep26 ?        00:00:00 [kworker/2:0H-kblockd]
root          24       2  0 Sep26 ?        00:00:00 [cpuhp/3]
root          25       2  0 Sep26 ?        00:00:00 [migration/3]
root          26       2  0 Sep26 ?        00:00:00 [ksoftirqd/3]
root          28       2  0 Sep26 ?        00:00:00 [kworker/3:0H-kblockd]
root          29       2  0 Sep26 ?        00:00:00 [kdevtmpfs]
root          30       2  0 Sep26 ?        00:00:00 [netns]
root          31       2  0 Sep26 ?        00:00:00 [rcu_tasks_kthre]
root          32       2  0 Sep26 ?        00:00:00 [rcu_tasks_rude_]
root          33       2  0 Sep26 ?        00:00:00 [rcu_tasks_trace]
root          34       2  0 Sep26 ?        00:00:00 [kauditd]
root          37       2  0 Sep26 ?        00:00:00 [oom_reaper]
root          38       2  0 Sep26 ?        00:00:00 [writeback]
root          39       2  0 Sep26 ?        00:00:00 [kcompactd0]
root          40       2  0 Sep26 ?        00:00:00 [ksmd]
root          41       2  0 Sep26 ?        00:00:00 [khugepaged]
root          58       2  0 Sep26 ?        00:00:00 [cryptd]
root         105       2  0 Sep26 ?        00:00:00 [kintegrityd]
root         106       2  0 Sep26 ?        00:00:00 [kblockd]
root         107       2  0 Sep26 ?        00:00:00 [blkcg_punt_bio]
root         108       2  0 Sep26 ?        00:00:00 [tpm_dev_wq]
root         109       2  0 Sep26 ?        00:00:00 [ata_sff]
root         110       2  0 Sep26 ?        00:00:00 [md]
root         111       2  0 Sep26 ?        00:00:00 [edac-poller]
root         112       2  0 Sep26 ?        00:00:00 [devfreq_wq]
root         113       2  0 Sep26 ?        00:00:00 [watchdogd]
root         114       2  0 Sep26 ?        00:00:00 [pm_wq]
root         115       2  0 Sep26 ?        00:00:02 [kswapd0]
root         117       2  0 Sep26 ?        00:00:00 [kthrotld]
root         118       2  0 Sep26 ?        00:00:00 [acpi_thermal_pm]
root         119       2  0 Sep26 ?        00:00:00 [scsi_eh_0]
root         120       2  0 Sep26 ?        00:00:00 [scsi_tmf_0]
root         121       2  0 Sep26 ?        00:00:00 [scsi_eh_1]
root         122       2  0 Sep26 ?        00:00:00 [scsi_tmf_1]
root         123       2  0 Sep26 ?        00:00:00 [scsi_eh_2]
root         124       2  0 Sep26 ?        00:00:00 [scsi_tmf_2]
root         125       2  0 Sep26 ?        00:00:00 [scsi_eh_3]
root         126       2  0 Sep26 ?        00:00:00 [scsi_tmf_3]
root         127       2  0 Sep26 ?        00:00:00 [scsi_eh_4]
root         128       2  0 Sep26 ?        00:00:00 [scsi_tmf_4]
root         129       2  0 Sep26 ?        00:00:00 [scsi_eh_5]
